run,total_time,t_ingest,cpu_ingest,mem_ingest,read_ingest,write_ingest,throughput_ingest,t_bronze,cpu_bronze,mem_bronze,read_bronze,write_bronze,throughput_bronze,t_silver,cpu_silver,mem_silver,read_silver,write_silver,throughput_silver,t_gold,cpu_gold,mem_gold,read_gold,write_gold,throughput_gold
1,92.23,1.240506649017334,,,0.0,0.0,0.0,60.08806538581848,64.57307692307691,17.676923076923078,3287.453125,266.81640625,59.15100625104917,16.18901491165161,63.86666666666667,19.5,1.09375,162.9765625,10.134669304795981,14.707842350006104,82.4,19.8,0.03125,469.57421875,31.928916395395355
2,73.9,0.01468968391418457,,,0.0,0.0,0.0,31.270567655563354,51.130769230769225,19.676923076923078,0.00390625,1404.40234375,44.91144086251155,15.39485478401184,63.53333333333333,19.833333333333332,0.0,533.36328125,34.64555455267553,27.21417999267578,85.2,20.0,0.0,988.62109375,36.32742540896216
3,90.31,0.01762247085571289,,,0.0,0.0,0.0,33.06743264198303,53.18846153846153,19.803846153846152,0.0078125,1302.1171875,39.37786807031392,17.892208337783813,68.96666666666665,19.966666666666665,0.00390625,371.92578125,20.78724327810216,39.336575746536255,86.8,20.3,0.01953125,1024.2265625,26.038008502562377
4,106.35,0.024331092834472656,,,0.0,0.0,0.0,32.82683491706848,51.52307692307692,19.934615384615384,0.03515625,1248.07421875,38.02100867028881,20.456146240234375,71.83333333333333,19.9,0.0,390.82421875,19.105466599632706,53.038224935531616,86.4,20.2,0.03125,1837.15625,34.63893262327531
5,124.76,0.015863895416259766,,,0.0,0.0,0.0,34.46510624885559,49.184615384615384,20.01153846153846,0.0078125,877.84375,25.47073425978917,25.45375156402588,71.63333333333334,20.1,0.0078125,495.02734375,19.448416277844075,64.82932472229004,87.6,20.3,0.015625,2144.55078125,33.080190414395005
6,144.49,0.02497100830078125,,,0.0,0.0,0.0,37.01745963096619,47.99615384615384,20.08076923076923,0.0078125,1156.80078125,31.25035065297392,28.124232292175293,72.7,20.233333333333334,0.00390625,503.74609375,17.911600031128778,79.3229672908783,86.6,20.4,0.0859375,2637.67578125,33.25344233628194
7,162.69,0.02575373649597168,,,0.0,0.0,0.0,39.34266781806946,46.807692307692314,20.180769230769233,0.01171875,1178.6171875,29.95803212177377,32.61139178276062,73.26666666666667,20.299999999999997,0.0,571.43359375,17.522514756701593,90.70587801933289,86.8,20.4,0.01171875,3099.38671875,34.16976391363964
8,180.19,0.021347522735595703,,,0.0,0.0,0.0,39.798001289367676,45.55384615384616,20.219230769230766,0.0078125,1247.41015625,31.343734065440536,36.59850811958313,73.66666666666667,20.400000000000002,0.0,562.1171875,15.359019161746168,103.76804399490356,86.6,20.5,0.01171875,3494.72265625,33.67832947850149
9,200.23,0.014886617660522461,,,0.0,0.0,0.0,41.87847328186035,44.869230769230775,20.300000000000004,0.01171875,1483.83984375,35.43232229391538,39.03705716133118,76.33333333333333,20.400000000000002,0.00390625,508.50390625,13.026284496765578,119.29467558860779,85.2,20.6,0.0078125,4442.4921875,37.23971734765539
10,217.52,0.015000581741333008,,,0.0,0.0,0.0,43.11407017707825,43.349999999999994,20.37307692307692,0.01171875,1146.4921875,26.59233752557055,44.026748180389404,74.2,20.366666666666664,0.0,482.0078125,10.948067536695753,130.36454057693481,86.0,20.7,0.01171875,4788.53515625,36.731973693214776
11,232.69,0.019495725631713867,,,0.0,0.0,0.0,43.91685128211975,42.85000000000001,20.415384615384614,0.0078125,1363.74609375,31.053089336694704,45.57845401763916,75.83333333333333,20.533333333333335,0.00390625,492.9609375,10.815742972748032,143.17763543128967,86.8,20.7,0.01171875,5350.6171875,37.370563427259164
12,251.35,0.015663623809814453,,,0.0,0.0,0.0,45.72616934776306,41.42307692307691,20.6,0.01171875,1435.6796875,31.397587568096483,50.07408404350281,74.86666666666667,20.7,0.0,505.65625,10.098162745437373,155.5356616973877,86.5,21.0,0.0,5877.3203125,37.7876060599851
13,266.32,0.014284849166870117,,,0.0,0.0,0.0,46.854599714279175,41.21153846153846,20.66923076923077,0.00390625,1431.421875,30.5503790445096,54.29015898704529,75.2,20.733333333333334,0.0,504.625,9.29496264913156,165.1588442325592,87.4,21.0,0.0,6325.01953125,38.29658387742032
14,280.99,0.01947951316833496,,,0.0,0.0,0.0,47.27398920059204,40.7576923076923,20.807692307692307,0.0078125,1517.72265625,32.104979808452306,55.44149994850159,77.46666666666667,20.866666666666664,1.140625,544.57421875,9.843075029660142,178.252286195755,87.7,21.2,0.0,7002.5625,39.28455925838646
