run,total_time,t_ingest,cpu_ingest,mem_ingest,read_ingest,write_ingest,throughput_ingest,t_bronze,cpu_bronze,mem_bronze,read_bronze,write_bronze,throughput_bronze,t_silver,cpu_silver,mem_silver,read_silver,write_silver,throughput_silver,t_gold,cpu_gold,mem_gold,read_gold,write_gold,throughput_gold
1,131.15,1.1124687194824219,,,0.0,0.0,0.0,85.0418496131897,81.24999999999999,28.71538461538461,3287.57421875,340.078125,42.65726063403216,22.52910542488098,79.56666666666666,33.6,1.09375,399.078125,17.76243962878584,22.45627737045288,91.7,33.7,0.0390625,708.30078125,31.543066202148303
2,101.07,0.011840343475341797,,,0.0,0.0,0.0,35.7608916759491,72.63076923076923,33.67692307692308,0.0078125,967.171875,27.045737457113646,20.481290817260742,83.7,33.9,0.6640625,919.109375,44.90798190926789,44.81029200553894,93.7,34.2,0.0078125,1226.0859375,27.361878156215635
3,128.24,0.023877859115600586,,,0.0,0.0,0.0,36.12271523475647,73.88076923076923,34.103846153846156,0.0078125,780.86328125,21.61717602553485,25.038282871246338,87.03333333333335,34.8,0.00390625,466.33984375,18.6252289103876,67.05388164520264,94.8,34.9,0.03515625,1464.6640625,21.843615653752266
4,157.98,0.017021894454956055,,,0.0,0.0,0.0,35.208149909973145,72.43076923076923,34.79615384615385,0.03515625,597.89453125,16.982706817282352,30.77129030227661,85.46666666666665,34.93333333333334,0.0,622.93359375,20.243986769183753,91.98445320129395,94.2,35.2,0.03515625,2083.31640625,22.648953056674728
5,181.04,0.03162670135498047,,,0.0,0.0,0.0,36.14717221260071,71.50384615384615,34.95769230769231,65.8828125,687.7734375,20.849659983562407,36.836076974868774,88.43333333333332,35.1,213.33203125,784.85546875,27.098094639149775,108.02346444129944,94.8,35.3,0.0234375,2554.48046875,23.64767617352369
6,203.67,0.016171932220458984,,,0.0,0.0,0.0,36.95978879928589,70.54615384615384,35.25769230769231,0.01953125,776.4453125,21.008367985181838,40.6107919216156,88.89999999999999,35.43333333333334,0.453125,601.0390625,14.811141547324722,126.08145499229431,95.3,35.7,0.01171875,3198.1953125,25.366197046547917
7,239.22,0.01979994773864746,,,0.0,0.0,0.0,38.78326416015625,69.63461538461539,35.542307692307695,0.0078125,807.09765625,20.810663729000275,47.5558876991272,89.33333333333333,35.666666666666664,0.0,579.69140625,12.189687424563399,152.85910773277283,92.7,36.0,0.0078125,3701.58203125,24.21569704712062
8,260.95,0.0158994197845459,,,0.0,0.0,0.0,38.0757691860199,68.74230769230769,35.826923076923066,0.01171875,701.34765625,18.4200973478302,52.11751341819763,88.13333333333333,35.93333333333333,0.0,645.078125,12.377377251746648,170.7387237548828,93.9,36.4,0.0078125,4168.84375,24.416555722209317
9,288.54,0.024837970733642578,,,0.0,0.0,0.0,39.17045879364014,67.46153846153847,36.261538461538464,0.0078125,721.796875,18.427271717766935,56.87998700141907,89.33333333333333,36.5,0.0,611.765625,10.755375611895575,192.4655020236969,94.8,36.7,0.046875,4738.14453125,24.618393199975237
10,309.57,0.023098230361938477,,,0.0,0.0,0.0,41.31280183792114,67.18846153846154,36.48461538461539,0.7578125,899.9140625,21.801277931560445,62.315185546875,88.53333333333332,36.699999999999996,1.14453125,739.01171875,11.877622500910897,205.9134521484375,95.4,36.8,0.15234375,5208.14453125,25.293621279514454
11,336.59,0.013963460922241211,,,0.0,0.0,0.0,41.19139552116394,66.74230769230769,36.7576923076923,0.1171875,1027.546875,24.948512899301775,65.61648559570312,90.43333333333334,36.8,0.16796875,903.10546875,13.765952706847662,229.76971626281738,95.8,37.1,0.76953125,5868.484375,25.544070827578402
12,370.12,0.015595436096191406,,,0.0,0.0,0.0,40.65219712257385,65.61923076923077,36.93846153846153,0.38671875,1133.66015625,27.896324313803756,74.10124921798706,90.36666666666666,37.06666666666667,0.0546875,384.10546875,5.1842601886494295,255.34610414505005,95.1,37.3,97.578125,7081.15625,28.113741539295624
13,395.34,0.019294261932373047,,,0.0,0.0,0.0,40.71487903594971,64.95384615384616,37.09615384615385,1.37890625,328.41796875,8.100156080748803,79.38365435600281,90.60000000000001,37.233333333333334,476.6015625,751.125,15.465735011318008,275.22434973716736,94.5,37.3,180.68359375,7064.20703125,26.32358158687157
